,id,ori_path,adv_path,audibility2
156463,8224-274384-0011-i8,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8224/274384/8224-274384-0011.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8224-274384-0011_adv_x/wav_x_adv_i8_0.04704474042146854.wav,0.04704474042146854
160427,1284-1180-0000-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1284/1180/1284-1180-0000.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1284-1180-0000_adv_x/wav_x_adv_i2_0.04533764596954818.wav,0.04533764596954818
160976,3575-170457-0046-i7,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3575/170457/3575-170457-0046.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3575-170457-0046_adv_x/wav_x_adv_i7_0.035927263907843565.wav,0.035927263907843565
162509,5683-32879-0019-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/5683/32879/5683-32879-0019.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_5683-32879-0019_adv_x/wav_x_adv_i3_0.050468295819698555.wav,0.050468295819698555
164611,7729-102255-0033-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7729/102255/7729-102255-0033.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7729-102255-0033_adv_x/wav_x_adv_i2_0.05326268468170521.wav,0.05326268468170521
165096,7729-102255-0038-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7729/102255/7729-102255-0038.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7729-102255-0038_adv_x/wav_x_adv_i2_0.038471801434195596.wav,0.038471801434195596
166349,6829-68771-0025-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68771/6829-68771-0025.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68771-0025_adv_x/wav_x_adv_i5_0.03753484799653553.wav,0.03753484799653553
170399,8463-294828-0001-i6,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8463/294828/8463-294828-0001.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8463-294828-0001_adv_x/wav_x_adv_i6_0.057929582474538756.wav,0.057929582474538756
172447,8463-294825-0002-i7,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8463/294825/8463-294825-0002.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8463-294825-0002_adv_x/wav_x_adv_i7_0.04039312419613277.wav,0.04039312419613277
174780,6829-68769-0015-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0015.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0015_adv_x/wav_x_adv_i4_0.06206679864407707.wav,0.06206679864407707
177146,2094-142345-0025-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0025.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0025_adv_x/wav_x_adv_i3_0.05723656564906244.wav,0.05723656564906244
177630,6829-68771-0027-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68771/6829-68771-0027.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68771-0027_adv_x/wav_x_adv_i4_0.05026709290476585.wav,0.05026709290476585
